ticker,expiry,spot,side,strike,iv,volume,openInterest,bid,ask
NATR,2026-08-21,20.059999465942383,C,17.5,1.0000000000000003e-05,2.0,0,0.0,0.0
NATR,2026-08-21,20.059999465942383,C,20.0,1.0000000000000003e-05,2.0,0,0.0,0.0
NATR,2026-08-21,20.059999465942383,C,22.5,0.12500875,3.0,0,0.0,0.0
NATR,2026-08-21,20.059999465942383,C,25.0,0.9492192578124999,1.0,39,0.0,0.6
NATR,2026-08-21,20.059999465942383,C,30.0,1.29297228515625,2.0,70,0.0,0.4
NATR,2026-08-21,20.059999465942383,P,10.0,0.500005,1.0,0,0.0,0.0
NATR,2026-08-21,20.059999465942383,P,15.0,3.259767475585937,,3,0.1,5.0
NATR,2026-08-21,20.059999465942383,P,20.0,0.007822421875,1.0,0,0.0,0.0
NATR,2026-08-21,20.059999465942383,P,22.5,1.0000000000000003e-05,12.0,0,0.0,0.0
NATR,2026-08-21,20.059999465942383,P,25.0,0.7929708203125,1.0,7,2.7,7.5
SEZL,2026-08-21,174.39999389648438,C,30.0,1.0000000000000003e-05,1.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,C,35.0,1.0000000000000003e-05,1.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,C,40.0,1.0000000000000003e-05,1.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,C,45.0,1.0000000000000003e-05,1.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,C,50.0,1.0000000000000003e-05,1.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,C,55.0,1.0000000000000003e-05,1.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,C,60.0,1.0000000000000003e-05,1.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,C,65.0,1.0000000000000003e-05,1.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,C,70.0,1.0000000000000003e-05,4.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,C,75.0,1.0000000000000003e-05,1.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,C,80.0,1.0000000000000003e-05,2.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,C,85.0,1.0000000000000003e-05,2.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,C,90.0,1.0000000000000003e-05,1.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,C,95.0,1.0000000000000003e-05,1.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,C,100.0,1.0000000000000003e-05,1.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,C,105.0,1.0000000000000003e-05,4.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,C,110.0,1.0000000000000003e-05,2.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,C,115.0,1.0000000000000003e-05,1.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,C,120.0,1.0000000000000003e-05,11.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,C,125.0,1.0000000000000003e-05,9.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,C,130.0,1.0000000000000003e-05,1.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,C,135.0,1.0000000000000003e-05,5.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,C,140.0,1.0000000000000003e-05,3.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,C,145.0,1.0000000000000003e-05,1.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,C,150.0,1.0000000000000003e-05,20.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,C,155.0,1.0000000000000003e-05,3.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,C,160.0,1.0000000000000003e-05,36.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,C,165.0,1.0000000000000003e-05,14.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,C,170.0,1.0000000000000003e-05,23.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,C,175.0,0.0039162109375,10.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,C,180.0,0.0312596875,14.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,C,185.0,0.062509375,3.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,C,190.0,0.12500875,4.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,C,195.0,0.12500875,32.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,C,200.0,0.12500875,28.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,C,210.0,0.2500075,10.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,C,220.0,0.2500075,9.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,C,230.0,0.2500075,1.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,C,240.0,0.2500075,3.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,C,250.0,0.2500075,1.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,C,260.0,0.500005,1.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,C,270.0,0.500005,1.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,C,280.0,0.500005,1.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,P,30.0,0.500005,,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,P,35.0,4.4257857177734365,2.0,5,0.0,2.25
SEZL,2026-08-21,174.39999389648438,P,40.0,4.044926818847656,1.0,2,0.0,2.2
SEZL,2026-08-21,174.39999389648438,P,45.0,3.7480475048828126,1.0,2,0.0,2.25
SEZL,2026-08-21,174.39999389648438,P,50.0,0.500005,1.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,P,55.0,0.500005,4.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,P,60.0,0.500005,1.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,P,65.0,0.500005,1.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,P,70.0,0.500005,1.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,P,75.0,0.500005,15.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,P,80.0,0.500005,1.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,P,85.0,2.11865704711914,13.0,24,0.0,2.35
SEZL,2026-08-21,174.39999389648438,P,90.0,1.9799805688476564,1.0,8,0.0,2.4
SEZL,2026-08-21,174.39999389648438,P,95.0,0.500005,1.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,P,100.0,0.500005,1.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,P,105.0,0.500005,1.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,P,110.0,0.500005,1.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,P,115.0,0.500005,1.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,P,120.0,0.500005,5.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,P,125.0,0.2500075,6.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,P,130.0,0.2500075,9.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,P,135.0,0.2500075,23.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,P,140.0,0.2500075,54.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,P,145.0,0.2500075,16.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,P,150.0,0.12500875,93.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,P,155.0,0.12500875,38.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,P,160.0,0.12500875,75.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,P,165.0,0.062509375,8.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,P,170.0,0.0312596875,3.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,P,175.0,1.0000000000000003e-05,30.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,P,180.0,1.0000000000000003e-05,2.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,P,185.0,1.0000000000000003e-05,46.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,P,190.0,1.0000000000000003e-05,1.0,0,0.0,0.0
SEZL,2026-08-21,174.39999389648438,P,195.0,1.0000000000000003e-05,,0,0.0,0.0
