asof,ticker,smirk,otm_call_oi,otm_call_oi_d5
2026-08-06,AAOI,0.48437015625,0.0,
2026-08-06,ABNB,0.43749562500000005,0.0,
2026-08-06,ABX,0.24999750000000004,0.0,
2026-08-06,ACDC,0.12499874999999999,0.0,
2026-08-06,ACET,0.12499874999999999,0.0,
2026-08-06,ACHV,0.37499625000000003,0.0,
2026-08-06,ACIW,0.187498125,0.0,
2026-08-06,ACLS,0.2187478125,0.0,
2026-08-06,ACMR,0.43749562500000005,0.0,
2026-08-06,ACRS,0.12499874999999999,0.0,
2026-08-06,AD,,10.0,
2026-08-06,AES,0.37499625000000003,0.0,
2026-08-06,AFL,0.48437015625,0.0,
2026-08-06,AGEN,0.187498125,0.0,
2026-08-06,AGO,,0.0,
2026-08-06,AHR,,0.0,
2026-08-06,AIG,0.2187478125,0.0,
2026-08-06,AIP,0.12499874999999999,0.0,
2026-08-06,AKAM,0.4687453125,0.0,
2026-08-06,ALDX,,0.0,
2026-08-06,ALM,0.12499874999999999,0.0,
2026-08-06,ALRM,0.23437265625,0.0,
2026-08-06,ALTG,,0.0,
2026-08-06,AMLX,0.23437265625,0.0,
2026-08-06,AMN,0.187498125,0.0,
2026-08-06,AMPH,0.12499874999999999,0.0,
2026-08-06,AMR,0.2187478125,0.0,
2026-08-06,AMRZ,0.187498125,0.0,
2026-08-06,AMTX,,0.0,
2026-08-06,ANIP,0.187498125,0.0,
2026-08-06,AORT,0.12499874999999999,0.0,
2026-08-06,APPN,0.12499874999999999,0.0,
2026-08-06,APT,,0.0,
2026-08-06,APYX,,0.0,
2026-08-06,AQN,0.0,0.0,
2026-08-06,ARBE,0.0,0.0,
2026-08-06,ARCT,0.0,0.0,
2026-08-06,ARDX,0.2187478125,0.0,
2026-08-06,ARHS,0.0,14.0,
2026-08-06,ARKO,,0.0,
2026-08-06,ARLO,0.12499874999999999,0.0,
2026-08-06,ARW,0.23437265625,0.0,
2026-08-06,ASIX,0.12499874999999999,0.0,
2026-08-06,ASLE,,0.0,
2026-08-06,ASND,0.2187478125,0.0,
2026-08-06,ASPN,,0.0,
2026-08-06,ASTH,0.12499874999999999,0.0,
2026-08-06,ATI,0.2187478125,0.0,
2026-08-06,ATMU,0.23437265625,1.0,
